"","IDBASE","TIPOC","tratamiento","trat_nivel","vali_febrero","vali","vali_total","vali_semana","vali_fin","recargas","recar_total","recar_semana","recar_fin","recar_fin","valor_recargas_total","valor_recarga_promedio","sald_promedio_antes","sald_promedio_despues","num_gastos","viajes_sitp","viajes_carro","semana_tratado","GENERO","diff","diff2","P22C","P22M","P3","automovil","moto","no_tiene_medio_trans","bici_pati","trabaja","estudia","casado","strata"
"133",1198,"Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1000,1,120,NA,8,15,4,1,0,0,1,1,1,0,2
"134",1206,"Control",0,0,10.75,12,12,9,3,0,0,0,0,0,0,0,0,0,1,1,0,1000,0,90,NA,4,10,5,0,0,1,0,1,0,1,2
"135",1209,"Tratamiento 2",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,21,1,30,NA,2,5,2,0,0,1,0,1,0,0,2
"136",1213,"Control",0,0,5.25,2,2,2,0,1,1,1,0,0,15000,15000,0,15000,1,0,0,1000,1,120,NA,4,10,4,0,0,1,0,1,0,0,2
"137",1215,"Control",0,0,3.5,5,5,5,0,2,2,2,0,0,15000,7500,2100,9600,1,0,0,1000,1,90,NA,2,6,3,0,0,1,0,1,0,0,3
"138",1233,"Tratamiento 2",1,1,12.5,10,10,7,3,1,1,1,0,0,20000,20000,1900,21900,3,2,0,20,1,20,NA,7,15,1,0,0,1,0,1,0,0,3
"139",1235,"Tratamiento 1",1,2,1.25,2,2,2,0,0,0,0,0,0,0,0,0,0,1,2,0,36,1,60,NA,4,15,4,0,0,1,0,1,0,1,2
"140",1259,"Tratamiento 1",1,2,7.75,6,6,6,0,0,0,0,0,0,0,0,0,0,5,2,0,20,1,60,NA,8,5,2,1,0,0,0,1,0,1,2
"141",1292,"Tratamiento 1",1,2,8.25,5,5,5,0,2,2,2,0,0,33000,16500,10350,26850,2,2,0,20,0,120,NA,7,5,7,0,0,1,0,1,0,0,2
"142",1303,"Control",0,0,13.5,13,13,10,3,2,2,2,0,0,15000,7500,3300,10800,NA,NA,NA,1000,1,20,NA,1,3,3,0,0,0,1,1,0,1,2
"143",1308,"Tratamiento 1",1,2,13.25,10,10,10,0,1,1,1,0,0,10000,10000,4700,14700,3,2,0,20,1,100,NA,2,2,4,0,0,1,0,1,0,1,2
"144",1337,"Tratamiento 1",1,2,0,6,6,6,0,1,1,1,0,0,10000,10000,1700,11700,NA,NA,NA,21,1,10,NA,1,5,4,0,0,1,0,0,0,1,1
"145",1339,"Tratamiento 1",1,2,17.75,12,12,9,3,0,0,0,0,0,0,0,0,0,NA,NA,NA,21,1,40,NA,4,3,4,0,0,1,0,1,0,0,2
"146",1352,"Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1000,1,30,NA,3,5,4,1,1,0,0,1,0,0,2
"147",1363,"Tratamiento 1",1,2,16,7,7,7,0,0,0,0,0,0,0,0,0,0,1,0,0,21,1,45,NA,8,15,3,0,1,0,0,1,0,0,2
"148",1370,"Tratamiento 1",1,2,3.25,15,15,13,2,1,1,0,1,1,28000,28000,8600,36600,1,0,0,21,1,NA,90,NA,NA,1,0,0,1,0,1,0,0,1
"149",1384,"Tratamiento 2",1,1,17,17,17,17,0,6,6,5,1,1,28600,4766.66666666667,1758.33333333333,6525,2,1,0,20,0,90,NA,3,5,5,0,0,1,0,1,0,1,3
"150",1421,"Control",0,0,17.25,3,3,3,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1000,1,80,NA,4,9,4,0,0,1,0,1,0,0,2
"151",1428,"Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1000,1,30,180,NA,NA,5,0,1,0,1,0,0,1,2
